x,z,relay,string,error,index
160,-30,false,f,true,0
187.249,-30,false,b,true,0
189.637,-30,true,l,true,0
194.964,-30,false,b,true,0
194.964,-20,false,l,true,0
225.244,-20,true,g,true,0
175.56,-141.116,false,g,true,0
183.882,-141.116,false,b,true,0
183.882,-20,false,l,true,0
230.587,-20,true,g,true,0
182.364,-141.116,false,g,true,0
230.587,-141.116,true,l,true,0
181.192,-141.116,false,b,true,0
181.192,-20,false,l,true,0
233.051,-20,true,g,true,0
185.469,-141.116,false,g,true,0
185.982,-141.116,false,b,true,0
185.982,-20,false,l,true,0
229.254,-20,true,g,true,0
227.132,-31.116,false,g,true,0
223.157,-31.116,false,b,true,0
243.259,-31.116,true,g,true,0
241.261,-31.116,false,b,true,0
241.261,-20,false,l,true,0
160,-30,false,f,true,1
169.956,-30,false,b,true,1
172.583,-30,true,l,true,1
174.096,-30,false,b,true,1
174.096,-20,false,l,true,1
232.212,-20,true,g,true,1
184.414,-141.116,false,g,true,1
232.212,-141.116,true,l,true,1
176,-141.116,false,b,true,1
176,-20,false,l,true,1
226.853,-20,true,g,true,1
177.619,-141.116,false,g,true,1
226.853,-141.116,true,l,true,1
175.285,-141.116,false,b,true,1
225.03,-141.116,true,l,true,1
185.079,-141.116,false,b,true,1
185.079,-20,false,l,true,1
231.554,-20,true,g,true,1
183.585,-141.116,false,g,true,1
172.447,-141.116,false,b,true,1
222.827,-141.116,true,l,true,1
172.727,-141.116,false,b,true,1
172.727,-20,false,l,true,1
223.464,-20,true,g,true,1
221.287,-31.116,false,g,true,1
213.911,-31.116,true,g,true,1
211.636,-31.116,false,b,true,1
160,-30,false,f,true,2
160.064,-30,false,b,true,2
160.064,-20,false,l,true,2
166.918,-20,true,g,true,2
163.993,-31.116,false,g,true,2
163.993,-20,false,l,true,2
159.841,-20,true,g,true,2
156.783,-31.116,false,g,true,2
157.723,-31.116,false,b,true,2
157.723,-20,false,l,true,2
232.971,-20,true,g,true,2
185.369,-141.116,false,g,true,2
232.971,-141.116,true,l,true,2
161.013,-141.116,false,b,true,2
214.101,-141.116,true,l,true,2
146.391,-141.116,false,b,true,2
146.391,-20,false,l,true,2
215.746,-20,true,g,true,2
163.195,-141.116,false,g,true,2
215.746,-141.116,true,l,true,2
165.114,-141.116,false,b,true,2
165.114,-20,false,l,true,2
232.935,-20,true,g,true,2
185.324,-141.116,false,g,true,2
219.262,-141.116,true,g,true,2
167.816,-141.116,false,b,true,2
160,-30,false,f,true,3
187.249,-30,false,b,true,3
189.637,-30,true,l,true,3
194.964,-30,false,b,true,3
194.964,-20,false,l,true,3
228.034,-20,true,g,true,3
225.902,-31.116,false,g,true,3
221.794,-31.116,false,b,true,3
242.904,-31.116,false,b,true,3
242.904,-20,false,l,true,3
238.513,-20,true,g,true,3
236.475,-31.116,false,g,true,3
231.785,-31.116,false,b,true,3
231.785,-20,false,l,true,3
159.256,-20,true,g,true,3
156.187,-31.116,false,g,true,3
158.45,-31.116,false,b,true,3
176.68,-31.116,false,b,true,3
176.68,-20,false,l,true,3
213.951,-20,true,g,true,3
160.814,-141.116,false,g,true,3
159.27,-141.116,false,b,true,3
159.27,-20,false,l,true,3
160,-30,false,f,true,4
169.956,-30,false,b,true,4
172.583,-30,true,l,true,4
174.096,-30,false,b,true,4
174.096,-20,false,l,true,4
236.996,-20,true,g,true,4
234.945,-31.116,false,g,true,4
225.599,-31.116,false,b,true,4
234.087,-31.116,false,b,true,4
234.087,-20,false,l,true,4
225.612,-20,true,g,true,4
223.456,-31.116,false,g,true,4
208.367,-31.116,false,b,true,4
210.677,-31.116,true,l,true,4
208.378,-31.116,false,b,true,4
223.496,-31.116,false,b,true,4
223.496,-20,false,l,true,4
240.556,-20,true,g,true,4
238.535,-31.116,false,g,true,4
222.837,-31.116,false,b,true,4
225.737,-31.116,true,g,true,4
223.583,-31.116,false,b,true,4
232.312,-31.116,true,g,true,4
230.219,-31.116,false,b,true,4
160,-30,false,f,true,5
160.064,-30,false,b,true,5
160.064,-20,false,l,true,5
243.97,-20,true,g,true,5
241.977,-31.116,false,g,true,5
209.161,-31.116,false,b,true,5
198.573,-31.116,false,b,true,5
198.573,-20,false,l,true,5
229.678,-20,true,g,true,5
227.561,-31.116,false,g,true,5
229.678,-31.116,true,l,true,5
203.002,-31.116,false,b,true,5
185.9,-31.116,false,b,true,5
190.277,-31.116,false,b,true,5
190.277,-20,false,l,true,5
206.125,-20,true,g,true,5
203.762,-31.116,false,g,true,5
176.961,-31.116,true,g,true,5
174.204,-31.116,false,b,true,5
174.204,-20,false,l,true,5
