x,z,relay,string,error,index
160,-30,false,f,true,0
160,-56,false,g,true,0
143.82,-56,false,b,true,0
143.82,-160,false,g,true,0
143.82,-20,false,l,true,0
222.736,-20,true,g,true,0
220.552,-31.116,false,g,true,0
218.8,-31.116,false,b,true,0
196.068,-31.116,false,b,true,0
196.068,-20,false,l,true,0
230.126,-20,true,g,true,0
228.013,-31.116,false,g,true,0
207.048,-31.116,false,b,true,0
207.048,-20,false,l,true,0
223.471,-20,true,g,true,0
221.294,-31.116,false,g,true,0
193.45,-31.116,false,b,true,0
193.45,-31.8629,false,g,true,0
182.09,-31.8629,false,b,true,0
182.09,-32.6396,false,g,true,0
178.362,-32.6396,false,b,true,0
178.362,-20,false,l,true,0
232.681,-20,true,g,true,0
230.501,-31.7743,false,g,true,0
174.676,-31.7743,false,b,true,0
174.676,-20,false,l,true,0
239.553,-20,true,g,true,0
237.436,-31.7743,false,g,true,0
158.48,-31.7743,false,b,true,0
158.48,-20,false,l,true,0
159.782,-20,true,g,true,0
156.59,-31.7743,false,g,true,0
145.285,-31.7743,false,b,true,0
145.285,-20,false,l,true,0
231.978,-20,true,g,true,0
229.791,-31.7743,false,g,true,0
168.305,-31.7743,false,b,true,0
168.305,-20,false,l,true,0
167.302,-20,true,g,true,0
164.257,-31.7743,false,g,true,0
159.761,-31.7743,false,b,true,0
159.761,-20,false,l,true,0
170.474,-20,true,g,true,0
167.487,-31.7743,false,g,true,0
140.336,-31.7743,false,b,true,0
140.336,-20,false,l,true,0
166.46,-20,true,g,true,0
163.399,-31.7743,false,g,true,0
162.129,-31.7743,false,b,true,0
162.129,-20,false,l,true,0
160,-30,false,f,true,1
160,-56,false,g,true,1
214.281,-56,false,b,true,1
214.281,-20,false,l,true,1
226.967,-20,true,g,true,1
159.861,-161.116,false,g,true,1
160.882,-161.116,false,b,true,1
160.882,-20,false,l,true,1
226.471,-20,true,g,true,1
159.156,-161.116,false,g,true,1
155.428,-161.116,false,b,true,1
155.428,-20,false,l,true,1
225.687,-20,true,g,true,1
158.039,-161.116,false,g,true,1
151.518,-161.116,false,b,true,1
148.759,-161.116,false,b,true,1
160.869,-161.116,false,b,true,1
160.869,-161.863,false,g,true,1
157.904,-161.863,false,b,true,1
157.904,-162.64,false,g,true,1
156.655,-162.64,false,b,true,1
156.655,-20,false,l,true,1
154.79,-20,true,g,true,1
151.493,-31.7743,false,g,true,1
144.23,-31.7743,false,b,true,1
144.23,-20,false,l,true,1
187.973,-20,true,g,true,1
185.268,-31.7743,false,g,true,1
195.024,-31.7743,false,b,true,1
147.722,-31.7743,false,b,true,1
147.722,-20,false,l,true,1
203.244,-20,true,g,true,1
200.745,-31.7743,false,g,true,1
182.18,-31.7743,false,b,true,1
182.18,-20,false,l,true,1
161.934,-20,true,g,true,1
158.787,-31.7743,false,g,true,1
149.02,-31.7743,false,b,true,1
149.02,-20,false,l,true,1
159.326,-20,true,g,true,1
156.126,-31.7743,false,g,true,1
153.002,-31.7743,false,b,true,1
153.002,-20,false,l,true,1
168.074,-20,true,g,true,1
165.044,-31.7743,false,g,true,1
171.406,-31.7743,false,b,true,1
171.406,-20,false,l,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
166.203,-20,true,g,true,2
156.081,-57.116,false,g,true,2
156.081,-161.116,false,g,true,2
156.081,-20,false,l,true,2
213.687,-20,true,g,true,2
140.37,-161.116,false,g,true,2
