x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
162.255,-20,true,g,true,0
159.243,-31.116,false,g,true,0
159.243,-161.116,false,g,true,0
151.854,-161.116,false,b,true,0
135.816,-161.116,false,b,true,0
130.661,-161.116,false,b,true,0
130.661,-20,false,l,false,0
229.749,-20,true,g,true,0
227.632,-31.116,false,g,true,0
179.033,-31.116,false,b,true,0
179.033,-20,false,l,true,0
177.632,-20,true,g,true,0
174.886,-31.116,false,g,true,0
148.961,-31.116,false,b,true,0
148.961,-20,false,l,true,0
238.961,-20,true,g,true,0
236.926,-31.116,false,g,true,0
158.308,-31.116,false,b,true,0
158.308,-20,false,l,true,0
224.162,-20,true,g,true,0
221.992,-31.116,false,g,true,0
205.746,-31.116,false,b,true,0
178.973,-31.116,false,b,true,0
178.973,-20,false,l,true,0
226.002,-20,true,g,true,0
223.85,-31.116,false,g,true,0
144.985,-31.116,false,b,true,0
144.985,-20,false,l,true,0
239.598,-20,true,g,true,0
237.569,-31.116,false,g,true,0
142.729,-31.116,false,b,true,0
142.729,-20,false,l,true,0
161.721,-20,true,g,true,0
158.699,-31.116,false,g,true,0
176.588,-31.116,false,b,true,0
151.612,-31.116,false,b,true,0
151.612,-20,false,l,true,0
164.71,-20,true,g,true,0
161.744,-31.116,false,g,true,0
143.987,-31.116,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
163.462,-20,false,l,true,1
223.947,-20,true,g,true,1
155.543,-161.116,false,g,true,1
148.227,-161.116,false,b,true,1
148.227,-20,false,l,true,1
227.356,-20,true,g,true,1
160.413,-161.116,false,g,true,1
140.647,-161.116,false,b,true,1
154.219,-161.116,false,b,true,1
130.276,-161.116,false,b,true,1
152.417,-161.116,false,b,true,1
152.417,-20,false,l,true,1
160.015,-20,true,g,true,1
156.96,-31.116,false,g,true,1
172.08,-31.116,false,b,true,1
153.009,-31.116,false,b,true,1
192.866,-31.116,false,b,true,1
192.866,-20,false,l,true,1
165.626,-20,true,g,true,1
162.676,-31.116,false,g,true,1
181.879,-31.116,false,b,true,1
181.879,-20,false,l,true,1
165.71,-20,true,g,true,1
162.762,-31.116,false,g,true,1
159.283,-31.116,false,b,true,1
159.283,-20,false,l,true,1
169.597,-20,true,g,true,1
166.718,-31.116,false,g,true,1
164.484,-31.116,false,b,true,1
220.262,-31.116,false,b,true,1
220.262,-20,false,l,true,1
161.342,-20,true,g,true,1
158.313,-31.116,false,g,true,1
137.412,-31.116,false,b,true,1
203.216,-31.116,false,b,true,1
160,-30,false,f,true,2
227.93,-30,false,b,true,2
227.93,-20,false,l,true,2
214.296,-20,true,g,true,2
141.295,-161.116,false,g,true,2
155.114,-161.116,false,b,true,2
