x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
163.956,-20,true,g,true,0
153.686,-57.116,false,g,true,0
153.686,-161.116,false,g,true,0
143.042,-161.116,false,b,true,0
138.492,-161.116,false,b,true,0
138.492,-20,false,l,false,0
226.718,-20,true,g,true,0
224.573,-31.116,false,g,true,0
207.447,-31.116,false,b,true,0
207.447,-20,false,l,true,0
229.809,-20,true,g,true,0
227.692,-31.116,false,g,true,0
200.993,-31.116,false,b,true,0
200.993,-20,false,l,true,0
144.991,-20,true,g,true,0
141.613,-31.116,false,g,true,0
141.613,-33.5771,false,g,true,0
131.039,-33.5771,false,b,true,0
131.039,-20,false,l,false,0
230.969,-20,true,g,true,0
228.515,-33.5771,false,g,true,0
228.515,-31.6891,false,l,true,0
224.023,-31.6891,false,b,true,0
224.023,-20,false,l,true,0
227.118,-20,true,g,true,0
224.855,-31.987,false,g,true,0
204.024,-31.987,false,b,true,0
204.024,-20,false,l,true,0
233.308,-20,true,g,true,0
231.105,-31.987,false,g,true,0
168.185,-31.987,false,b,true,0
168.185,-20,false,l,true,0
223.899,-20,true,g,true,0
221.603,-31.987,false,g,true,0
144.974,-31.987,false,b,true,0
144.974,-20,false,l,true,0
228.426,-20,true,g,true,0
226.175,-31.987,false,g,true,0
144.668,-31.987,false,b,true,0
144.668,-20,false,l,true,0
231.799,-20,true,g,true,0
229.581,-31.987,false,g,true,0
197.273,-31.987,false,b,true,0
197.273,-20,false,l,true,0
161.23,-20,true,g,true,0
158.025,-31.987,false,g,true,0
156.493,-31.987,false,b,true,0
156.493,-20,false,l,true,0
160.839,-20,true,g,true,0
157.626,-31.987,false,g,true,0
142.397,-31.987,false,b,true,0
142.397,-20,false,l,true,0
160,-30,false,f,true,1
160,-56,false,g,true,1
163.462,-56,false,b,true,1
163.462,-20,false,l,true,1
215.461,-20,true,g,true,1
143.056,-161.116,false,g,true,1
140.154,-161.116,false,b,true,1
140.154,-20,false,l,true,1
223.035,-20,true,g,true,1
154.228,-161.116,false,g,true,1
143.368,-161.116,false,b,true,1
151.97,-161.116,false,b,true,1
159.275,-161.116,false,b,true,1
159.275,-20,false,l,true,1
223.717,-20,true,g,true,1
155.212,-161.116,false,g,true,1
160.37,-161.116,false,b,true,1
160.37,-20,false,l,true,1
224.439,-20,true,g,true,1
153.672,-163.577,false,g,true,1
153.672,-20,false,l,true,1
227.755,-20,true,g,true,1
160.403,-161.689,false,g,true,1
160.403,-161.987,false,g,true,1
146.066,-161.987,false,b,true,1
158.999,-161.987,false,b,true,1
158.999,-20,false,l,true,1
154.942,-20,true,g,true,1
151.604,-31.987,false,g,true,1
147.573,-31.987,false,b,true,1
142.668,-31.987,false,b,true,1
