x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
165.738,-20,true,g,true,0
150.176,-70.116,false,g,true,0
150.176,-36.099,false,l,true,0
140.266,-36.099,false,b,true,0
140.266,-20,false,l,true,0
164.475,-20,true,g,true,0
159.052,-41.8861,false,g,true,0
159.052,-66.9958,false,g,true,0
144.38,-66.9958,false,b,true,0
144.38,-110.973,false,g,true,0
148.711,-110.973,false,b,true,0
148.711,-20,false,l,true,0
230.057,-20,true,g,true,0
204.382,-105.614,false,g,true,0
204.382,-84.2656,false,l,true,0
143.592,-84.2656,false,b,true,0
143.592,-20,false,l,true,0
184.232,-20,true,g,true,0
166.478,-78.9066,false,g,true,0
166.478,-32.4012,false,l,true,0
166.478,-20,false,l,true,0
166.478,-32.4013,false,g,true,0
166.478,-119.61,false,g,true,0
168.987,-119.61,false,b,true,0
168.987,-20,false,l,true,0
177.104,-20,true,g,true,0
150.697,-93.039,false,g,true,0
145.213,-93.039,false,b,true,0
145.213,-63.5194,false,l,true,0
145.213,-20,false,l,true,0
181.171,-20,true,g,true,0
160.299,-84.4226,false,g,true,0
135.249,-84.4226,false,b,true,0
135.249,-84.4719,false,g,true,0
148.928,-84.4719,false,b,true,0
148.928,-20,false,l,true,0
233.705,-20,true,g,true,0
212.475,-97.3267,false,g,true,0
212.475,-84.2538,false,l,true,0
192.679,-84.2538,false,b,true,0
192.679,-20,false,l,true,0
170.445,-20,true,g,true,0
162.287,-52.0999,false,g,true,0
162.287,-75.4704,false,g,true,0
162.287,-70.8332,false,l,true,0
147.704,-70.8332,false,b,true,0
147.704,-20,false,l,true,0
218.233,-20,true,g,true,0
216.982,-23.3407,false,g,true,0
216.982,-35.7384,false,g,true,0
147.701,-35.7384,false,b,true,0
147.701,-20,false,l,true,0
160,-30,false,f,true,1
160,-69,false,g,true,1
163.462,-69,false,b,true,1
163.462,-20,false,l,true,1
153.386,-20,true,g,true,1
149.078,-36.099,false,g,true,1
149.078,-41.8861,false,g,true,1
151.932,-41.8861,false,b,true,1
151.932,-66.9958,false,g,true,1
166.444,-66.9958,false,b,true,1
166.444,-20,false,l,true,1
197.349,-20,true,g,true,1
163.192,-110.973,false,g,true,1
163.192,-20,false,l,true,1
182.466,-20,true,g,true,1
158.938,-89.6246,false,g,true,1
171.217,-89.6246,false,b,true,1
171.217,-20,false,l,true,1
222.107,-20,true,g,true,1
217.881,-43.1192,false,g,true,1
217.881,-20,false,l,true,1
207.34,-20,true,g,true,1
161.26,-130.328,false,g,true,1
161.26,-109.116,false,l,true,1
130.925,-109.116,false,b,true,1
130.925,-20,false,l,false,1
205.455,-20,true,g,true,1
174.085,-109.116,false,g,true,1
174.085,-79.5964,false,l,true,1
