x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
225.418,-20,true,g,true,0
224.493,-20.398,false,g,true,0
224.493,-27.4751,false,g,true,0
201.849,-27.4751,false,b,true,0
201.849,-48.029,false,g,true,0
140.323,-48.029,false,b,true,0
140.323,-20,false,l,true,0
222.456,-20,true,g,true,0
220.494,-29.4817,false,g,true,0
220.494,-32.2549,false,g,true,0
189.917,-32.2549,false,b,true,0
189.917,-20,false,l,true,0
235.281,-20,true,g,true,0
232.579,-35.5524,false,g,true,0
232.579,-32.2247,false,l,true,0
181.732,-32.2247,false,b,true,0
181.732,-48.1536,false,g,true,0
167.393,-48.1536,false,b,true,0
167.393,-53.2606,false,g,true,0
140.113,-53.2606,false,b,true,0
140.113,-20,false,l,true,0
197.725,-20,true,g,true,0
196.14,-24.988,false,g,true,0
196.14,-32.9823,false,g,true,0
163.21,-32.9823,false,b,true,0
163.21,-33.972,false,g,true,0
143.582,-33.972,false,b,true,0
143.582,-20,false,l,true,0
221.258,-20,true,g,true,0
219.9,-24.4713,false,g,true,0
219.9,-30.509,false,g,true,0
150.308,-30.509,false,b,true,0
150.308,-20,false,l,true,0
184.305,-20,true,g,true,0
183.112,-20.9331,false,g,true,0
183.112,-34.1927,false,g,true,0
163.462,-34.1927,false,b,true,0
163.462,-20,false,l,true,0
169.066,-20,true,g,true,0
160.899,-51.9112,false,g,true,0
160.899,-63.765,false,g,true,0
151.81,-63.765,false,b,true,0
151.81,-68.0807,false,g,true,0
154.991,-68.0807,false,b,true,0
154.991,-20,false,l,true,0
164.775,-20,true,g,true,0
162.835,-25.2088,false,g,true,0
162.835,-53.0914,false,g,true,0
151.994,-53.0914,false,b,true,0
151.994,-20,false,l,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
163.462,-37.077,false,g,true,1
206.611,-37.077,false,b,true,1
206.611,-20,false,l,true,1
170.328,-20,true,g,true,1
159.876,-58.747,false,g,true,1
159.876,-66.9946,false,g,true,1
150.054,-66.9946,false,b,true,1
150.054,-69.7678,false,g,true,1
200.635,-69.7678,false,b,true,1
200.635,-110.578,false,g,true,1
204.342,-110.578,false,b,true,1
204.342,-20,false,l,true,1
212.328,-20,true,g,true,1
196.494,-80.4556,false,g,true,1
196.494,-96.3844,false,g,true,1
218.786,-96.3844,false,b,true,1
218.786,-20,false,l,true,1
204.534,-20,true,g,true,1
167.367,-117.568,false,g,true,1
167.367,-126.809,false,g,true,1
151.573,-126.809,false,b,true,1
151.573,-134.803,false,g,true,1
187.288,-134.803,false,b,true,1
187.288,-20,false,l,true,1
202.687,-20,true,g,true,1
189.662,-71.4849,false,g,true,1
189.662,-85.7445,false,g,true,1
169.459,-85.7445,false,b,true,1
