x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
172.289,-20,true,g,true,0
169.455,-31.116,false,g,true,0
169.455,-39.1073,false,g,true,0
152.587,-39.1073,false,b,true,0
152.587,-20,false,l,true,0
168.405,-20,true,g,true,0
160.015,-52.4926,false,g,true,0
160.015,-54.547,false,g,true,0
130.286,-54.547,false,b,true,0
130.286,-20,false,l,false,0
165.342,-20,true,g,true,0
161.993,-33.1111,false,g,true,0
161.993,-63.5487,false,g,true,0
141.893,-63.5487,false,b,true,0
141.893,-81.5918,false,g,true,0
134.056,-81.5918,false,b,true,0
134.056,-20,false,l,false,0
219.423,-20,true,g,true,0
218.251,-22.643,false,g,true,0
218.251,-35.8631,false,g,true,0
147.879,-35.8631,false,b,true,0
147.879,-62.5224,false,g,true,0
143.08,-62.5224,false,b,true,0
143.08,-20,false,l,true,0
188.699,-20,true,g,true,0
187.492,-21.3072,false,g,true,0
187.492,-24.1729,false,g,true,0
164.473,-24.1729,false,b,true,0
164.473,-33.8635,false,g,true,0
137.26,-33.8635,false,b,true,0
137.26,-35.5809,false,g,true,0
140.031,-35.5809,false,b,true,0
140.031,-36.1022,false,g,true,0
140.031,-20,false,l,true,0
169.285,-20,true,g,true,0
161.478,-50.8183,false,g,true,0
161.478,-57.393,false,g,true,0
155.285,-57.393,false,b,true,0
155.285,-20,false,l,true,0
195.826,-20,true,g,true,0
194.54,-22.401,false,g,true,0
162.325,-22.401,false,b,true,0
162.325,-47.0627,false,g,true,0
152.23,-47.0627,false,b,true,0
152.23,-51.5328,false,g,true,0
130.42,-51.5328,false,b,true,0
130.42,-20,false,l,false,0
175.319,-20,true,g,true,0
169.13,-46.1738,false,g,true,0
169.13,-65.1571,false,g,true,0
137.183,-65.1571,false,b,true,0
137.183,-68.2467,false,g,true,0
141.11,-68.2467,false,b,true,0
141.11,-20,false,l,true,0
169.081,-20,true,g,true,0
167.872,-20.1802,false,g,true,0
167.872,-55.6773,false,g,true,0
131.412,-55.6773,false,b,true,0
131.412,-20,false,l,false,0
183.968,-20,true,g,true,0
182.458,-23.5234,false,g,true,0
182.458,-44.0359,false,g,true,0
135.057,-44.0359,false,b,true,0
135.057,-20,false,l,false,0
218.103,-20,true,g,true,0
216.929,-22.6,false,g,true,0
216.929,-37.8858,false,g,true,0
177.527,-37.8858,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
163.462,-37.9913,false,g,true,1
198.806,-37.9913,false,b,true,1
198.806,-20,false,l,true,1
196.172,-20,true,g,true,1
185.709,-63.2106,false,g,true,1
185.709,-65.265,false,g,true,1
209.246,-65.265,false,b,true,1
158.358,-65.265,false,b,true,1
158.358,-95.7026,false,g,true,1
