x,z,relay,string,error,index
160,-30,false,f,true,0
187.249,-30,false,b,true,0
189.637,-30,true,l,true,0
194.964,-30,false,b,true,0
194.964,-20,false,l,true,0
174.814,-20,true,g,true,0
172.022,-31.116,false,g,true,0
180.91,-31.116,false,b,true,0
194.261,-31.116,true,g,true,0
191.753,-31.116,false,b,true,0
191.753,-20,false,l,true,0
190.428,-20,true,g,true,0
187.869,-31.116,false,g,true,0
184.407,-31.116,false,b,true,0
209.959,-31.116,true,g,true,0
207.64,-31.116,false,b,true,0
207.64,-20,false,l,true,0
186.509,-20,true,g,true,0
183.895,-31.116,false,g,true,0
183.237,-31.116,true,g,true,0
180.576,-31.116,false,b,true,0
180.576,-20,false,l,true,0
160,-30,false,f,true,1
169.956,-30,false,b,true,1
172.583,-30,true,l,true,1
174.096,-30,false,b,true,1
174.096,-20,false,l,true,1
175.414,-20,true,g,true,1
172.632,-31.116,false,g,true,1
161.978,-31.116,false,b,true,1
171.143,-31.116,false,b,true,1
171.143,-20,false,l,true,1
199.28,-20,true,g,true,1
196.836,-31.116,false,g,true,1
207.674,-31.116,true,g,true,1
205.33,-31.116,false,b,true,1
205.33,-20,false,l,true,1
180.666,-20,true,g,true,1
177.966,-31.116,false,g,true,1
167.576,-31.116,true,g,true,1
164.662,-31.116,false,b,true,1
173.743,-31.116,true,g,true,1
170.934,-31.116,false,b,true,1
170.934,-20,false,l,true,1
175.77,-20,true,g,true,1
172.994,-31.116,false,g,true,1
168.183,-31.116,true,g,true,1
165.279,-31.116,false,b,true,1
160,-30,false,f,true,2
160.064,-30,false,b,true,2
160.064,-20,false,l,true,2
169.31,-20,true,g,true,2
166.426,-31.116,false,g,true,2
166.426,-20,false,l,true,2
162.911,-20,true,g,true,2
159.912,-31.116,false,g,true,2
161.413,-31.116,false,b,true,2
161.413,-20,false,l,true,2
184.729,-20,true,g,true,2
182.089,-31.116,false,g,true,2
153.694,-31.116,true,g,true,2
150.511,-31.116,false,b,true,2
153.694,-31.116,true,l,true,2
145.302,-31.116,false,b,true,2
145.302,-20,false,l,true,2
236.778,-20,true,g,true,2
234.725,-31.116,false,g,true,2
204.636,-31.116,true,g,true,2
202.256,-31.116,false,b,true,2
202.256,-20,false,l,true,2
160,-30,false,f,true,3
187.249,-30,false,b,true,3
189.637,-30,true,l,true,3
194.964,-30,false,b,true,3
194.964,-20,false,l,true,3
231.346,-20,true,g,true,3
229.244,-31.116,false,g,true,3
224.633,-31.116,false,b,true,3
224.633,-20,false,l,true,3
242.369,-20,true,g,true,3
240.363,-31.116,false,g,true,3
237.456,-31.116,true,g,true,3
235.408,-31.116,false,b,true,3
243.044,-31.116,true,g,true,3
241.044,-31.116,false,b,true,3
241.044,-20,false,l,true,3
179.2,-20,true,g,true,3
176.478,-31.116,false,g,true,3
179.835,-31.116,true,g,true,3
177.123,-31.116,false,b,true,3
206.36,-31.116,true,g,true,3
204,-31.116,false,b,true,3
204,-20,false,l,true,3
222.752,-20,true,g,true,3
220.568,-31.116,false,g,true,3
217.939,-31.116,true,g,true,3
215.707,-31.116,false,b,true,3
160,-30,false,f,true,4
169.956,-30,false,b,true,4
172.583,-30,true,l,true,4
174.096,-30,false,b,true,4
174.096,-20,false,l,true,4
237.228,-20,true,g,true,4
235.179,-31.116,false,g,true,4
225.243,-31.116,false,b,true,4
233.141,-31.116,false,b,true,4
242.9,-31.116,true,g,true,4
240.898,-31.116,false,b,true,4
240.898,-20,false,l,true,4
225.237,-20,true,g,true,4
223.078,-31.116,false,g,true,4
208.373,-31.116,false,b,true,4
213.88,-31.116,true,g,true,4
211.605,-31.116,false,b,true,4
211.605,-20,false,l,true,4
239.134,-20,true,g,true,4
237.101,-31.116,false,g,true,4
231.351,-31.116,true,g,true,4
229.249,-31.116,false,b,true,4
233.217,-31.116,true,g,true,4
231.132,-31.116,false,b,true,4
160,-30,false,f,true,5
160.064,-30,false,b,true,5
160.064,-20,false,l,true,5
217.01,-20,true,g,true,5
214.768,-31.116,false,g,true,5
183.946,-31.116,false,b,true,5
177.517,-31.116,false,b,true,5
177.517,-20,false,l,true,5
173.776,-20,true,g,true,5
170.968,-31.116,false,g,true,5
145.044,-31.116,true,g,true,5
141.667,-31.116,false,b,true,5
145.044,-31.116,true,l,true,5
140.529,-31.116,false,b,true,5
140.529,-20,false,l,true,5
233.893,-20,true,g,true,5
231.814,-31.116,false,g,true,5
201.545,-31.116,true,g,true,5
199.129,-31.116,false,b,true,5
191.73,-31.116,true,g,true,5
189.189,-31.116,false,b,true,5
189.189,-20,false,l,true,5
