x,z,relay,string,error,index
160,-30,false,f,true,0
160,-43,false,g,true,0
143.82,-43,false,b,true,0
143.82,-20,false,l,true,0
229.629,-20,true,g,true,0
222.986,-54.834,false,g,true,0
140.062,-54.834,false,b,true,0
140.062,-20,false,l,true,0
240.894,-20,true,g,true,0
222.491,-92.3468,false,g,true,0
222.491,-86.284,false,l,true,0
140.689,-86.284,false,b,true,0
140.689,-20,false,l,true,0
236.02,-20,true,g,true,0
199.201,-126.589,false,g,true,0
199.201,-125.097,false,l,true,0
163.409,-125.097,false,b,true,0
140.147,-125.097,false,b,true,0
140.147,-20,false,l,true,0
206.418,-20,true,g,true,0
161.179,-128.956,false,g,true,0
140.164,-128.956,false,b,true,0
140.164,-20,false,l,true,0
213.044,-20,true,g,true,0
155.062,-146.094,false,g,true,0
155.062,-122.219,false,l,true,0
155.062,-20,false,l,true,0
226.293,-20,true,g,true,0
158.733,-161.283,false,g,true,0
158.733,-161.595,false,g,true,0
158.733,-20,false,l,true,0
200.864,-20,true,g,true,0
155.062,-127.679,false,g,true,0
155.062,-135.814,false,g,true,0
154.597,-135.814,false,b,true,0
154.597,-20,false,l,true,0
154.597,-139.159,false,g,true,0
154.597,-132.134,false,l,true,0
154.597,-20,false,l,true,0
222.528,-20,true,g,true,0
162.224,-152.322,false,g,true,0
172.584,-152.322,false,b,true,0
172.584,-148,false,l,true,0
149.788,-148,false,b,true,0
149.788,-138.061,false,l,true,0
149.788,-20,false,l,true,0
218.794,-20,true,g,true,0
165.232,-143.42,false,g,true,0
168.326,-143.42,false,b,true,0
168.326,-20,false,l,true,0
217.164,-20,true,g,true,0
159.385,-147.501,false,g,true,0
140.989,-147.501,false,b,true,0
140.989,-20,false,l,true,0
201.441,-20,true,g,true,0
143.254,-141.622,false,g,true,0
143.254,-122.219,false,l,true,0
151.801,-122.219,false,b,true,0
151.801,-123.572,false,g,true,0
151.801,-20,false,l,true,0
227.709,-20,true,g,true,0
161.282,-160.746,false,g,true,0
161.282,-160.922,false,g,true,0
161.282,-20,false,l,true,0
253.275,-20,true,g,true,0
158.985,-197.159,false,g,false,0
158.985,-159.04,false,l,true,0
159.317,-159.04,false,b,true,0
159.317,-138.296,false,l,true,0
148.145,-138.296,false,b,true,0
148.145,-121.266,false,l,true,0
148.145,-20,false,l,true,0
224.763,-20,true,g,true,0
150.698,-166.759,false,g,true,0
150.698,-161.632,false,l,true,0
143.855,-161.632,false,b,true,0
160,-30,false,f,true,1
160,-43,false,g,true,1
214.281,-43,false,b,true,1
202.025,-43,false,b,true,1
202.025,-20,false,l,true,1
155.793,-20,true,g,true,1
149.416,-44.116,false,g,true,1
149.416,-38.0532,false,l,true,1
190.907,-38.0532,false,b,true,1
190.907,-35.4859,false,l,true,1
165.295,-35.4859,false,b,true,1
165.295,-20,false,l,true,1
157.842,-20,true,g,true,1
140.715,-71.507,false,g,true,1
142.021,-71.507,false,b,true,1
142.021,-75.3664,false,g,true,1
140.654,-75.3664,false,b,true,1
140.654,-20,false,l,true,1
180.281,-20,true,g,true,1
161.198,-80.7254,false,g,true,1
161.198,-87.1451,false,g,true,1
153.949,-87.1451,false,b,true,1
153.949,-20,false,l,true,1
213.162,-20,true,g,true,1
181.674,-111.501,false,g,true,1
181.674,-113.052,false,g,true,1
181.674,-20,false,l,true,1
226.762,-20,true,g,true,1
221.392,-49.0563,false,g,true,1
221.392,-52.6534,false,g,true,1
221.392,-20,false,l,true,1
219.318,-20,true,g,true,1
180.142,-125.096,false,g,true,1
180.142,-128.441,false,g,true,1
