x,z,relay,string,error,index
160,-30,false,f,true,0
187.249,-30,false,b,true,0
189.637,-30,true,l,true,0
194.964,-30,false,b,true,0
194.964,-20,false,l,true,0
219.061,-20,true,g,true,0
167.553,-141.116,false,g,true,0
219.061,-141.116,true,l,true,0
174.522,-141.116,false,b,true,0
184.842,-141.116,false,b,true,0
184.842,-20,false,l,true,0
221.392,-20,true,g,true,0
170.59,-141.116,false,g,true,0
218.377,-141.116,true,g,true,0
166.658,-141.116,false,b,true,0
222.917,-141.116,true,g,true,0
172.563,-141.116,false,b,true,0
172.563,-20,false,l,true,0
207.899,-20,true,g,true,0
205.558,-31.116,false,g,true,0
201.526,-31.116,false,b,true,0
223.496,-31.116,false,b,true,0
223.496,-20,false,l,true,0
164.347,-20,true,g,true,0
161.374,-31.116,false,g,true,0
184.408,-31.116,true,g,true,0
181.764,-31.116,false,b,true,0
160,-30,false,f,true,1
169.956,-30,false,b,true,1
172.583,-30,true,l,true,1
174.096,-30,false,b,true,1
174.096,-20,false,l,true,1
223.757,-20,true,g,true,1
173.647,-141.116,false,g,true,1
166.554,-141.116,false,b,true,1
162.097,-141.116,false,b,true,1
224.723,-141.116,true,g,true,1
174.891,-141.116,false,b,true,1
174.891,-20,false,l,true,1
222.517,-20,true,g,true,1
172.047,-141.116,false,g,true,1
217.404,-141.116,true,g,true,1
165.38,-141.116,false,b,true,1
165.38,-20,false,l,true,1
223.387,-20,true,g,true,1
173.171,-141.116,false,g,true,1
223.387,-141.116,true,l,true,1
161.012,-141.116,false,b,true,1
214.1,-141.116,true,l,true,1
164.324,-141.116,false,b,true,1
164.324,-20,false,l,true,1
160,-30,false,f,true,2
160.064,-30,false,b,true,2
160.064,-20,false,l,true,2
185.766,-20,true,g,true,2
183.142,-31.116,false,g,true,2
172.967,-31.116,false,b,true,2
172.967,-20,false,l,true,2
213.402,-20,true,g,true,2
160.084,-141.116,false,g,true,2
151.026,-141.116,false,b,true,2
151.026,-20,false,l,true,2
218.979,-20,true,g,true,2
167.446,-141.116,false,g,true,2
209.447,-141.116,true,g,true,2
154.772,-141.116,false,b,true,2
154.772,-20,false,l,true,2
213.819,-20,true,g,true,2
160.639,-141.116,false,g,true,2
213.819,-141.116,true,l,true,2
162.039,-141.116,false,b,true,2
162.039,-20,false,l,true,2
214.933,-20,true,g,true,2
162.119,-141.116,false,g,true,2
214.933,-141.116,true,l,true,2
140.402,-141.116,false,b,true,2
140.402,-20,false,l,true,2
160,-30,false,f,true,3
187.249,-30,false,b,true,3
189.637,-30,true,l,true,3
194.964,-30,false,b,true,3
194.964,-20,false,l,true,3
191.009,-20,true,g,true,3
188.457,-31.116,false,g,true,3
187.341,-31.116,false,b,true,3
197.114,-31.116,true,g,true,3
194.642,-31.116,false,b,true,3
194.642,-20,false,l,true,3
207.973,-20,true,g,true,3
205.632,-31.116,false,g,true,3
203.416,-31.116,true,g,true,3
201.022,-31.116,false,b,true,3
208.418,-31.116,true,g,true,3
206.082,-31.116,false,b,true,3
223.084,-31.116,true,g,true,3
220.903,-31.116,false,b,true,3
220.903,-20,false,l,true,3
208.501,-20,true,g,true,3
153.49,-141.116,false,g,true,3
208.501,-141.116,true,l,true,3
179.91,-141.116,false,b,true,3
179.91,-20,false,l,true,3
227.203,-20,true,g,true,3
178.065,-141.116,false,g,true,3
225.126,-141.116,true,g,true,3
175.407,-141.116,false,b,true,3
160,-30,false,f,true,4
169.956,-30,false,b,true,4
172.583,-30,true,l,true,4
174.096,-30,false,b,true,4
174.096,-20,false,l,true,4
169.63,-20,true,g,true,4
166.751,-31.116,false,g,true,4
161.891,-31.116,true,g,true,4
158.873,-31.116,false,b,true,4
155.474,-31.116,true,g,true,4
152.328,-31.116,false,b,true,4
166.683,-31.116,true,g,true,4
163.753,-31.116,false,b,true,4
163.753,-20,false,l,true,4
222.602,-20,true,g,true,4
220.416,-31.116,false,g,true,4
233.029,-31.116,true,g,true,4
230.942,-31.116,false,b,true,4
230.942,-20,false,l,true,4
229.133,-20,true,g,true,4
227.01,-31.116,false,g,true,4
214.232,-31.116,false,b,true,4
216.48,-31.116,true,l,true,4
215.963,-31.116,false,b,true,4
230.544,-31.116,true,g,true,4
228.435,-31.116,false,b,true,4
160,-30,false,f,true,5
160.064,-30,false,b,true,5
160.064,-20,false,l,true,5
222.907,-20,true,g,true,5
172.551,-141.116,false,g,true,5
222.907,-141.116,true,l,true,5
164.702,-141.116,false,b,true,5
164.702,-20,false,l,true,5
203.842,-20,true,g,true,5
201.453,-31.116,false,g,true,5
172.572,-31.116,true,g,true,5
169.744,-31.116,false,b,true,5
165.192,-31.116,true,g,true,5
162.235,-31.116,false,b,true,5
169.546,-31.116,true,g,true,5
166.666,-31.116,false,b,true,5
166.666,-20,false,l,true,5
182.192,-20,true,g,true,5
179.515,-31.116,false,g,true,5
163.605,-31.116,false,b,true,5
163.605,-20,false,l,true,5
242.032,-20,true,g,true,5
240.024,-31.116,false,g,true,5
242.032,-31.116,true,l,true,5
215.458,-31.116,false,b,true,5
201.783,-31.116,true,g,true,5
199.37,-31.116,false,b,true,5
