x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-20,false,l,true,0
238.823,-20,true,g,true,0
236.787,-31.116,false,g,true,0
184.593,-31.116,false,b,true,0
140.892,-31.116,false,b,true,0
140.892,-20,false,l,true,0
235.909,-20,true,g,true,0
233.848,-31.116,false,g,true,0
153.438,-31.116,false,b,true,0
153.438,-20,false,l,true,0
228.239,-20,true,g,true,0
226.108,-31.116,false,g,true,0
203.117,-31.116,false,b,true,0
152.991,-31.116,false,b,true,0
152.991,-20,false,l,true,0
224.616,-20,true,g,true,0
222.451,-31.116,false,g,true,0
185.431,-31.116,false,b,true,0
185.431,-20,false,l,true,0
237.451,-20,true,g,true,0
235.404,-31.116,false,g,true,0
194.067,-31.116,false,b,true,0
146.016,-31.116,false,b,true,0
146.016,-20,false,l,true,0
167.773,-20,true,g,true,0
164.862,-31.116,false,g,true,0
148.52,-31.116,false,b,true,0
148.52,-20,false,l,true,0
170.868,-20,true,g,true,0
168.011,-31.116,false,g,true,0
159.302,-31.116,false,b,true,0
159.302,-20,false,l,true,0
170.124,-20,true,g,true,0
167.254,-31.116,false,g,true,0
147.855,-31.116,false,b,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
201.869,-30,false,b,true,1
201.869,-20,false,l,true,1
175.393,-20,true,g,true,1
172.611,-31.116,false,g,true,1
174.75,-31.116,false,b,true,1
162.656,-31.116,false,b,true,1
162.656,-20,false,l,true,1
160.323,-20,true,g,true,1
157.275,-31.116,false,g,true,1
153.14,-31.116,false,b,true,1
235.592,-31.116,false,b,true,1
235.592,-20,false,l,true,1
165.344,-20,true,g,true,1
162.39,-31.116,false,g,true,1
169.293,-31.116,false,b,true,1
242.483,-31.116,false,b,true,1
242.483,-20,false,l,true,1
148.617,-20,true,g,true,1
145.323,-31.116,false,g,true,1
209.393,-31.116,false,b,true,1
209.393,-20,false,l,true,1
167.224,-20,true,g,true,1
164.304,-31.116,false,g,true,1
195.592,-31.116,false,b,true,1
195.592,-20,false,l,true,1
204.154,-20,true,g,true,1
201.768,-31.116,false,g,true,1
141.49,-31.116,false,b,true,1
141.49,-20,false,l,true,1
167.67,-20,true,g,true,1
164.757,-31.116,false,g,true,1
161.52,-31.116,false,b,true,1
231.538,-31.116,false,b,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
163.017,-20,true,g,true,2
160.02,-31.116,false,g,true,2
148.963,-31.116,false,b,true,2
227.869,-31.116,false,b,true,2
227.869,-20,false,l,true,2
150.114,-20,true,g,true,2
146.854,-31.116,false,g,true,2
173.944,-31.116,false,b,true,2
217.595,-31.116,false,b,true,2
217.595,-20,false,l,true,2
165.08,-20,true,g,true,2
162.121,-31.116,false,g,true,2
151.721,-31.116,false,b,true,2
235.562,-31.116,false,b,true,2
235.562,-20,false,l,true,2
159.105,-20,true,g,true,2
156.032,-31.116,false,g,true,2
218.351,-31.116,false,b,true,2
218.351,-20,false,l,true,2
169.48,-20,true,g,true,2
166.599,-31.116,false,g,true,2
231.059,-31.116,false,b,true,2
231.059,-20,false,l,true,2
156.039,-20,true,g,true,2
152.905,-31.116,false,g,true,2
224.377,-31.116,false,b,true,2
224.377,-20,false,l,true,2
181.412,-20,true,g,true,2
178.723,-31.116,false,g,true,2
191.377,-31.116,false,b,true,2
191.377,-20,false,l,true,2
160,-30,false,f,true,3
227.93,-30,false,b,true,3
227.93,-20,false,l,true,3
176.248,-20,true,g,true,3
173.48,-31.116,false,g,true,3
163.345,-31.116,false,b,true,3
212.22,-31.116,false,b,true,3
242.08,-31.116,false,b,true,3
242.08,-20,false,l,true,3
162.279,-20,true,g,true,3
159.268,-31.116,false,g,true,3
161.929,-31.116,false,b,true,3
216.974,-31.116,false,b,true,3
216.974,-20,false,l,true,3
221.502,-20,true,g,true,3
219.306,-31.116,false,g,true,3
184.916,-31.116,false,b,true,3
225.074,-31.116,false,b,true,3
241.581,-31.116,false,b,true,3
241.581,-20,false,l,true,3
145.373,-20,true,g,true,3
142.004,-31.116,false,g,true,3
236.579,-31.116,false,b,true,3
236.579,-20,false,l,true,3
167.69,-20,true,g,true,3
164.777,-31.116,false,g,true,3
223.746,-31.116,false,b,true,3
223.746,-20,false,l,true,3
155.327,-20,true,g,true,3
152.178,-31.116,false,g,true,3
169.519,-31.116,false,b,true,3
205.449,-31.116,false,b,true,3
160,-30,false,f,true,4
163.462,-30,false,b,true,4
205.834,-30,false,b,true,4
205.834,-20,false,l,true,4
164.06,-20,true,g,true,4
161.082,-31.116,false,g,true,4
154.604,-31.116,false,b,true,4
154.604,-20,false,l,true,4
191.762,-20,true,g,true,4
189.22,-31.116,false,g,true,4
159.734,-31.116,false,b,true,4
198.894,-31.116,false,b,true,4
156.341,-31.116,false,b,true,4
156.341,-20,false,l,true,4
162.99,-20,true,g,true,4
159.992,-31.116,false,g,true,4
177.963,-31.116,false,b,true,4
149.881,-31.116,false,b,true,4
149.881,-20,false,l,true,4
155.892,-20,true,g,true,4
152.755,-31.116,false,g,true,4
142.395,-31.116,false,b,true,4
142.395,-20,false,l,true,4
166.408,-20,true,g,true,4
163.473,-31.116,false,g,true,4
165.065,-31.116,false,b,true,4
165.065,-20,false,l,true,4
160.679,-20,true,g,true,4
157.637,-31.116,false,g,true,4
150.08,-31.116,false,b,true,4
150.08,-20,false,l,true,4
159.843,-20,true,g,true,4
