x,z,relay,string,error,index
160,-30,false,f,true,0
143.82,-30,false,b,true,0
143.82,-20,false,l,true,0
169.295,-20,true,g,true,0
166.411,-31.116,false,g,true,0
147.586,-31.116,false,b,true,0
147.483,-31.116,false,b,true,0
147.483,-20,false,l,true,0
216.252,-20,true,g,true,0
214.002,-31.116,false,g,true,0
151.338,-31.116,false,b,true,0
151.338,-20,false,l,true,0
158.715,-20,true,g,true,0
155.635,-31.116,false,g,true,0
149.583,-31.116,false,b,true,0
149.583,-20,false,l,true,0
224.071,-20,true,g,true,0
221.899,-31.116,false,g,true,0
179.354,-31.116,false,b,true,0
179.354,-20,false,l,true,0
239.746,-20,true,g,true,0
237.718,-31.116,false,g,true,0
158.392,-31.116,false,b,true,0
158.392,-20,false,l,true,0
235.997,-20,true,g,true,0
233.937,-31.116,false,g,true,0
149.036,-31.116,false,b,true,0
149.036,-20,false,l,true,0
168.348,-20,true,g,true,0
165.447,-31.116,false,g,true,0
176.282,-31.116,false,b,true,0
176.282,-20,false,l,true,0
211.09,-20,true,g,true,0
208.784,-31.116,false,g,true,0
148.261,-31.116,false,b,true,0
148.261,-20,false,l,true,0
160,-30,false,f,true,1
214.281,-30,false,b,true,1
192.752,-30,false,b,true,1
192.752,-20,false,l,true,1
170.903,-20,true,g,true,1
168.047,-31.116,false,g,true,1
155.711,-31.116,false,b,true,1
141.878,-31.116,false,b,true,1
210.162,-31.116,false,b,true,1
210.162,-20,false,l,true,1
156.468,-20,true,g,true,1
153.343,-31.116,false,g,true,1
141.635,-31.116,false,b,true,1
141.635,-20,false,l,true,1
193.573,-20,true,g,true,1
191.055,-31.116,false,g,true,1
157.153,-31.116,false,b,true,1
157.153,-20,false,l,true,1
168.544,-20,true,g,true,1
165.647,-31.116,false,g,true,1
144.824,-31.116,false,b,true,1
144.824,-20,false,l,true,1
171.282,-20,true,g,true,1
168.432,-31.116,false,g,true,1
169.873,-31.116,false,b,true,1
169.873,-20,false,l,true,1
156.985,-20,true,g,true,1
153.87,-31.116,false,g,true,1
147.422,-31.116,false,b,true,1
147.422,-20,false,l,true,1
162.599,-20,true,g,true,1
159.594,-31.116,false,g,true,1
146.742,-31.116,false,b,true,1
160,-30,false,f,true,2
160,-20,false,l,true,2
168.523,-20,true,g,true,2
165.626,-31.116,false,g,true,2
159.038,-31.116,false,b,true,2
213.965,-31.116,false,b,true,2
213.965,-20,false,l,true,2
209.694,-20,true,g,true,2
207.372,-31.116,false,g,true,2
204.431,-31.116,false,b,true,2
204.431,-20,false,l,true,2
156.591,-20,true,g,true,2
153.468,-31.116,false,g,true,2
188.251,-31.116,false,b,true,2
242.36,-31.116,false,b,true,2
242.36,-20,false,l,true,2
159.62,-20,true,g,true,2
156.558,-31.116,false,g,true,2
202.187,-31.116,false,b,true,2
202.187,-20,false,l,true,2
159.571,-20,true,g,true,2
156.508,-31.116,false,g,true,2
223.886,-31.116,false,b,true,2
223.886,-20,false,l,true,2
148.153,-20,true,g,true,2
144.849,-31.116,false,g,true,2
206.424,-31.116,false,b,true,2
206.424,-20,false,l,true,2
203.37,-20,true,g,true,2
200.976,-31.116,false,g,true,2
240.989,-31.116,false,b,true,2
240.989,-20,false,l,true,2
152.524,-20,true,g,true,2
149.316,-31.116,false,g,true,2
210.472,-31.116,false,b,true,2
210.472,-20,false,l,true,2
160,-30,false,f,true,3
227.93,-30,false,b,true,3
227.93,-20,false,l,true,3
171.605,-20,true,g,true,3
168.761,-31.116,false,g,true,3
201.869,-31.116,false,b,true,3
237.346,-31.116,false,b,true,3
237.346,-20,false,l,true,3
221.524,-20,true,g,true,3
219.327,-31.116,false,g,true,3
188.614,-31.116,false,b,true,3
236.112,-31.116,false,b,true,3
236.112,-20,false,l,true,3
146.278,-20,true,g,true,3
142.93,-31.116,false,g,true,3
200.76,-31.116,false,b,true,3
200.76,-20,false,l,true,3
145.296,-20,true,g,true,3
141.925,-31.116,false,g,true,3
222.072,-31.116,false,b,true,3
222.072,-20,false,l,true,3
159.374,-20,true,g,true,3
156.307,-31.116,false,g,true,3
206.372,-31.116,false,b,true,3
206.372,-20,false,l,true,3
154.658,-20,true,g,true,3
151.495,-31.116,false,g,true,3
228.034,-31.116,false,b,true,3
228.034,-20,false,l,true,3
145.855,-20,true,g,true,3
142.497,-31.116,false,g,true,3
209.026,-31.116,false,b,true,3
209.026,-20,false,l,true,3
161.99,-20,true,g,true,3
158.973,-31.116,false,g,true,3
220.169,-31.116,false,b,true,3
160,-30,false,f,true,4
163.462,-30,false,b,true,4
211.895,-30,false,b,true,4
211.895,-20,false,l,true,4
179.844,-20,true,g,true,4
177.132,-31.116,false,g,true,4
141.943,-31.116,false,b,true,4
140.186,-31.116,false,b,true,4
140.186,-20,false,l,true,4
169.021,-20,true,g,true,4
166.132,-31.116,false,g,true,4
150.353,-31.116,false,b,true,4
150.353,-20,false,l,true,4
157.529,-20,true,g,true,4
154.426,-31.116,false,g,true,4
149.18,-31.116,false,b,true,4
149.18,-20,false,l,true,4
163.506,-20,true,g,true,4
160.518,-31.116,false,g,true,4
157.016,-31.116,false,b,true,4
157.016,-20,false,l,true,4
155.847,-20,true,g,true,4
152.709,-31.116,false,g,true,4
158.6,-31.116,false,b,true,4
158.6,-20,false,l,true,4
199.134,-20,true,g,true,4
196.688,-31.116,false,g,true,4
145.772,-31.116,false,b,true,4
145.772,-20,false,l,true,4
