x,z,relay,string,error,index
160,-30,false,f,true,0
187.249,-30,false,b,true,0
189.637,-30,true,l,true,0
194.964,-30,false,b,true,0
194.964,-20,false,l,true,0
177.339,-20,true,g,true,0
174.588,-31.116,false,g,true,0
181.808,-31.116,false,b,true,0
191.735,-31.116,true,g,true,0
189.193,-31.116,false,b,true,0
189.193,-20,false,l,true,0
239.625,-20,true,g,true,0
237.597,-31.116,false,g,true,0
233.764,-31.116,false,b,true,0
233.764,-20,false,l,true,0
162.425,-20,true,g,true,0
159.416,-31.116,false,g,true,0
162.425,-31.116,true,l,true,0
187.585,-31.116,false,b,true,0
187.585,-20,false,l,true,0
175.952,-20,true,g,true,0
173.179,-31.116,false,g,true,0
175.952,-31.116,true,l,true,0
171.835,-31.116,false,b,true,0
184.461,-31.116,true,g,true,0
181.818,-31.116,false,b,true,0
160,-30,false,f,true,1
169.956,-30,false,b,true,1
172.583,-30,true,l,true,1
174.096,-30,false,b,true,1
174.096,-20,false,l,true,1
182.75,-20,true,g,true,1
180.082,-31.116,false,g,true,1
171.522,-31.116,false,b,true,1
182.387,-31.116,false,b,true,1
182.387,-20,false,l,true,1
224.206,-20,true,g,true,1
222.036,-31.116,false,g,true,1
206.817,-31.116,false,b,true,1
209.512,-31.116,false,b,true,1
209.512,-20,false,l,true,1
180.873,-20,true,g,true,1
178.177,-31.116,false,g,true,1
180.873,-31.116,true,l,true,1
166.488,-31.116,false,b,true,1
169.371,-31.116,true,l,true,1
174.399,-31.116,false,b,true,1
174.399,-20,false,l,true,1
160,-30,false,f,true,2
160.064,-30,false,b,true,2
160.064,-20,false,l,true,2
182.235,-20,true,g,true,2
179.559,-31.116,false,g,true,2
153.371,-31.116,false,b,true,2
155.344,-31.116,false,b,true,2
155.344,-20,false,l,true,2
176.73,-20,true,g,true,2
173.969,-31.116,false,g,true,2
145.334,-31.116,false,b,true,2
144.77,-31.116,false,b,true,2
144.77,-20,false,l,true,2
216.269,-20,true,g,true,2
214.019,-31.116,false,g,true,2
216.269,-31.116,true,l,true,2
181.935,-31.116,false,b,true,2
184.577,-31.116,true,l,true,2
173.785,-31.116,false,b,true,2
173.785,-20,false,l,true,2
209.34,-20,true,g,true,2
207.014,-31.116,false,g,true,2
191.184,-31.116,true,g,true,2
188.634,-31.116,false,b,true,2
160,-30,false,f,true,3
187.249,-30,false,b,true,3
189.637,-30,true,l,true,3
194.964,-30,false,b,true,3
194.964,-20,false,l,true,3
229.569,-20,true,g,true,3
227.45,-31.116,false,g,true,3
224.188,-31.116,false,b,true,3
224.188,-20,false,l,true,3
165.792,-20,true,g,true,3
162.846,-31.116,false,g,true,3
162.01,-31.116,true,g,true,3
158.994,-31.116,false,b,true,3
162.01,-31.116,true,l,true,3
165.751,-31.116,false,b,true,3
168.646,-31.116,true,l,true,3
197.585,-31.116,false,b,true,3
197.585,-20,false,l,true,3
169.783,-20,true,g,true,3
166.908,-31.116,false,g,true,3
169.783,-31.116,true,l,true,3
170.894,-31.116,false,b,true,3
173.703,-31.116,true,l,true,3
200.555,-31.116,false,b,true,3
200.555,-20,false,l,true,3
160,-30,false,f,true,4
169.956,-30,false,b,true,4
172.583,-30,true,l,true,4
174.096,-30,false,b,true,4
174.096,-20,false,l,true,4
241.292,-20,true,g,true,4
239.277,-31.116,false,g,true,4
230.058,-31.116,false,b,true,4
238.573,-31.116,false,b,true,4
238.573,-20,false,l,true,4
171.199,-20,true,g,true,4
168.348,-31.116,false,g,true,4
179.242,-31.116,false,b,true,4
179.242,-20,false,l,true,4
174.498,-20,true,g,true,4
171.702,-31.116,false,g,true,4
174.498,-31.116,true,l,true,4
164.558,-31.116,false,b,true,4
167.474,-31.116,true,l,true,4
177.053,-31.116,false,b,true,4
177.053,-20,false,l,true,4
168.958,-20,true,g,true,4
166.068,-31.116,false,g,true,4
163.606,-31.116,true,g,true,4
160.62,-31.116,false,b,true,4
160,-30,false,f,true,5
160.064,-30,false,b,true,5
160.064,-20,false,l,true,5
223.328,-20,true,g,true,5
221.15,-31.116,false,g,true,5
190.502,-31.116,false,b,true,5
183.957,-31.116,false,b,true,5
190.088,-31.116,true,g,true,5
187.523,-31.116,false,b,true,5
187.523,-20,false,l,true,5
237.197,-20,true,g,true,5
235.147,-31.116,false,g,true,5
204.699,-31.116,false,b,true,5
207.05,-31.116,true,l,true,5
197.729,-31.116,false,b,true,5
197.729,-20,false,l,true,5
236.38,-20,true,g,true,5
234.323,-31.116,false,g,true,5
236.38,-31.116,true,l,true,5
201.885,-31.116,false,b,true,5
196.122,-31.116,true,g,true,5
193.638,-31.116,false,b,true,5
