x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
161.441,-20,true,g,true,0
158.414,-31.116,false,g,true,0
175.883,-31.116,false,b,true,0
132.814,-31.116,false,b,true,0
132.814,-20,false,l,false,0
226.221,-20,true,g,true,0
158.801,-161.116,false,g,true,0
130.638,-161.116,false,b,true,0
130.638,-20,false,l,false,0
216.202,-20,true,g,true,0
144.17,-161.116,false,g,true,0
140.139,-161.116,false,b,true,0
140.139,-20,false,l,true,0
222.971,-20,true,g,true,0
154.135,-161.116,false,g,true,0
154.135,-20,false,l,true,0
227.061,-20,true,g,true,0
159.994,-161.116,false,g,true,0
133.956,-161.116,false,b,true,0
133.956,-20,false,l,false,0
227.389,-20,true,g,true,0
160.459,-161.116,false,g,true,0
150.265,-161.116,false,b,true,0
150.265,-20,false,l,true,0
222.516,-20,true,g,true,0
153.477,-161.116,false,g,true,0
131.94,-161.116,false,b,true,0
131.94,-20,false,l,false,0
224.322,-20,true,g,true,0
156.083,-161.116,false,g,true,0
141.093,-161.116,false,b,true,0
141.093,-20,false,l,true,0
229.429,-20,true,g,true,0
227.309,-31.116,false,g,true,0
156.167,-31.116,false,b,true,0
156.167,-20,false,l,true,0
166.779,-20,true,g,true,0
163.85,-31.116,false,g,true,0
153.418,-31.116,false,b,true,0
140.771,-31.116,false,b,true,0
140.771,-20,false,l,true,0
237.344,-20,true,g,true,0
235.296,-31.116,false,g,true,0
181.765,-31.116,false,b,true,0
147.602,-31.116,false,b,true,0
147.602,-20,false,l,true,0
221.848,-20,true,g,true,0
219.655,-31.116,false,g,true,0
200.278,-31.116,false,b,true,0
200.278,-20,false,l,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
212.199,-30,false,b,true,1
212.199,-20,false,l,true,1
169.761,-20,true,g,true,1
166.885,-31.116,false,g,true,1
142.419,-31.116,false,b,true,1
187.814,-31.116,false,b,true,1
147.451,-31.116,false,b,true,1
197.226,-31.116,false,b,true,1
227.48,-31.116,false,b,true,1
229.2,-31.116,false,b,true,1
228.998,-31.116,false,b,true,1
228.998,-20,false,l,true,1
160.285,-20,true,g,true,1
157.236,-31.116,false,g,true,1
141.584,-31.116,false,b,true,1
194.012,-31.116,false,b,true,1
202.529,-31.116,false,b,true,1
207.057,-31.116,false,b,true,1
207.057,-20,false,l,true,1
227.478,-20,true,g,true,1
160.586,-161.116,false,g,true,1
152.811,-161.116,false,b,true,1
152.811,-20,false,l,true,1
215.07,-20,true,g,true,1
142.466,-161.116,false,g,true,1
142.466,-20,false,l,true,1
227.117,-20,true,g,true,1
160.074,-161.116,false,g,true,1
160.074,-31.116,false,l,true,1
160.074,-20,false,l,true,1
156.043,-20,true,g,true,1
