x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
187.162,-20,true,g,true,0
184.558,-31.116,false,g,true,0
166.53,-31.116,false,b,true,0
166.53,-20,false,l,true,0
217.779,-20,true,g,true,0
146.524,-161.116,false,g,true,0
133.677,-161.116,false,b,true,0
133.677,-20,false,l,false,0
217.86,-20,true,g,true,0
146.644,-161.116,false,g,true,0
133.203,-161.116,false,b,true,0
133.203,-20,false,l,false,0
227.376,-20,true,g,true,0
160.441,-161.116,false,g,true,0
143.784,-161.116,false,b,true,0
143.784,-20,false,l,true,0
222.482,-20,true,g,true,0
153.427,-161.116,false,g,true,0
133.024,-161.116,false,b,true,0
133.024,-20,false,l,false,0
227.641,-20,true,g,true,0
160.817,-161.116,false,g,true,0
143.568,-161.116,false,b,true,0
143.568,-20,false,l,true,0
226.633,-20,true,g,true,0
224.487,-31.116,false,g,true,0
133.903,-31.116,false,b,true,0
133.903,-20,false,l,false,0
226.663,-20,true,g,true,0
224.517,-31.116,false,g,true,0
144.104,-31.116,false,b,true,0
144.104,-20,false,l,true,0
238.64,-20,true,g,true,0
236.603,-31.116,false,g,true,0
217.979,-31.116,false,b,true,0
139.24,-31.116,false,b,true,0
139.24,-20,false,l,false,0
166.527,-20,true,g,true,0
163.594,-31.116,false,g,true,0
166.987,-31.116,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
201.276,-30,false,b,true,1
201.276,-20,false,l,true,1
158.397,-20,true,g,true,1
155.311,-31.116,false,g,true,1
135.507,-31.116,false,b,true,1
158.588,-31.116,false,b,true,1
158.588,-20,false,l,true,1
179.99,-20,true,g,true,1
177.28,-31.116,false,g,true,1
232.342,-31.116,false,b,true,1
198.762,-31.116,false,b,true,1
206.28,-31.116,false,b,true,1
211.123,-31.116,false,b,true,1
208.676,-31.116,false,b,true,1
230.531,-31.116,false,b,true,1
230.531,-20,false,l,true,1
224.169,-20,true,g,true,1
155.863,-161.116,false,g,true,1
146.625,-161.116,false,b,true,1
159.905,-161.116,false,b,true,1
159.905,-31.116,false,l,true,1
159.905,-20,false,l,true,1
162.344,-20,true,g,true,1
159.334,-31.116,false,g,true,1
210.165,-31.116,false,b,true,1
210.165,-20,false,l,true,1
168.698,-20,true,g,true,1
165.804,-31.116,false,g,true,1
159.532,-31.116,false,b,true,1
134.519,-31.116,false,b,true,1
199.95,-31.116,false,b,true,1
199.95,-20,false,l,true,1
163.283,-20,true,g,true,1
160.291,-31.116,false,g,true,1
143.444,-31.116,false,b,true,1
143.444,-20,false,l,true,1
160,-30,false,f,true,2
227.93,-30,false,b,true,2
227.93,-20,false,l,true,2
239.613,-20,true,g,true,2
237.584,-31.116,false,g,true,2
237.92,-31.116,false,b,true,2
