x,z,relay,string,error,index
160,-30,false,f,true,0
160,-45.1801,false,g,true,0
166.257,-45.18,true,l,true,0
187.249,-45.18,false,b,true,0
192.622,-45.18,true,l,true,0
194.964,-45.18,false,b,true,0
194.964,-20,false,l,true,0
207.263,-20,true,g,true,0
202.487,-44.2403,false,g,true,0
202.487,-20,false,l,true,0
166.02,-20,true,g,true,0
163.489,-28.8769,false,g,true,0
163.489,-26.2156,false,l,true,0
166.145,-26.2156,false,b,true,0
166.145,-20,false,l,true,0
168.81,-20,true,g,true,0
164.721,-36.9336,false,g,true,0
171.804,-36.9336,true,g,true,0
167.787,-36.9336,false,b,true,0
182.605,-36.9336,true,g,true,0
178.83,-36.9336,false,b,true,0
206.338,-36.9336,true,g,true,0
203.006,-36.9336,false,b,true,0
203.006,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
187.692,-42.2926,false,g,true,0
187.692,-20,false,l,true,0
228.004,-20,true,g,true,0
209.264,-90.5234,false,g,true,0
209.264,-20,false,l,true,0
192.398,-20,true,g,true,0
