x,z,relay,string,error,index
160,-30,false,f,true,0
160,-45.1801,false,g,true,0
166.257,-45.18,true,l,true,0
187.249,-45.18,false,b,true,0
192.622,-45.18,true,l,true,0
194.964,-45.18,false,b,true,0
194.964,-20,false,l,true,0
160.281,-20,true,g,true,0
153.509,-46.0995,false,g,true,0
160.281,-46.0995,true,l,true,0
180.65,-46.0995,false,b,true,0
180.65,-20,false,l,true,0
218.406,-20,true,g,true,0
209.369,-62.1765,false,g,true,0
209.369,-40.1816,false,l,true,0
209.369,-45.9209,false,g,true,0
206.214,-45.9209,false,b,true,0
228.734,-45.9209,false,b,true,0
228.734,-20,false,l,true,0
215.001,-20,true,g,true,0
177.386,-121.489,false,g,true,0
213.199,-121.489,true,g,true,0
175.198,-121.489,false,b,true,0
175.198,-20,false,l,true,0
216.858,-20,true,g,true,0
141.476,-164.352,false,g,true,0
226.332,-164.352,true,g,true,0
155.61,-164.352,false,b,true,0
155.61,-137.999,false,l,true,0
179.903,-137.999,false,b,true,0
160,-30,false,f,true,1
160,-45.1801,false,g,true,1
166.257,-45.18,true,l,true,1
169.956,-45.18,false,b,true,1
175.859,-45.18,true,l,true,1
174.096,-45.18,false,b,true,1
174.096,-34.9585,false,l,true,1
174.096,-20,false,l,true,1
179.35,-20,true,g,true,1
170.113,-56.8175,false,g,true,1
179.35,-56.8175,true,l,true,1
156.898,-56.8175,false,b,true,1
156.898,-34.8227,false,l,true,1
156.898,-40.5619,false,g,true,1
163.615,-40.5619,false,b,true,1
163.615,-20,false,l,true,1
175.457,-20,true,g,true,1
167.796,-51.2799,false,g,true,1
167.796,-46.4627,false,l,true,1
160.752,-46.4627,true,g,true,1
153.891,-46.4628,false,b,true,1
153.891,-20,false,l,true,1
216.278,-20,true,g,true,1
207.038,-62.5397,false,g,true,1
207.038,-89.3264,false,g,true,1
212.38,-89.3264,true,g,true,1
192.681,-89.3264,false,b,true,1
216.092,-89.3264,true,g,true,1
196.765,-89.3264,false,b,true,1
196.765,-20,false,l,true,1
160,-30,false,f,true,2
160,-45.1801,false,g,true,2
166.257,-45.18,true,l,true,2
160.064,-45.18,false,b,true,2
160.064,-20,false,l,true,2
215.315,-20,true,g,true,2
156.93,-147.424,false,g,true,2
156.93,-137.202,false,l,true,2
156.93,-20,false,l,true,2
201.471,-20,true,g,true,2
164.89,-115.766,false,g,true,2
201.471,-115.766,true,l,true,2
144.813,-115.766,false,b,true,2
144.813,-93.7715,false,l,true,2
144.813,-20,false,l,true,2
221.257,-20,true,g,true,2
218.438,-35.2029,false,g,true,2
187.555,-35.2029,false,b,true,2
187.555,-30.3858,false,l,true,2
182.759,-30.3858,true,g,true,2
180.215,-30.3858,false,b,true,2
184.263,-30.3858,true,g,true,2
181.741,-30.3858,false,b,true,2
181.741,-20,false,l,true,2
180.754,-20,true,g,true,2
171.474,-57.1725,false,g,true,2
155.916,-57.1725,true,g,true,2
145.055,-57.1725,false,b,true,2
145.055,-20,false,l,true,2
160,-30,false,f,true,3
160,-45.1801,false,g,true,3
166.257,-45.18,true,l,true,3
187.249,-45.18,false,b,true,3
192.622,-45.18,true,l,true,3
194.964,-45.18,false,b,true,3
194.964,-20,false,l,true,3
247.51,-20,true,g,true,3
150.95,-196.151,false,g,false,3
247.51,-196.151,true,l,false,3
149.869,-196.151,false,b,false,3
246.852,-196.151,true,l,false,3
176.974,-196.151,false,b,false,3
176.974,-20,false,l,true,3
213.168,-20,true,g,true,3
148.718,-152.72,false,g,true,3
148.718,-158.46,false,g,true,3
217.316,-158.46,true,l,true,3
152.498,-158.46,false,b,true,3
152.498,-20,false,l,true,3
233.82,-20,true,g,true,3
208.984,-104.87,false,g,true,3
208.984,-100.053,false,l,true,3
227.773,-100.053,true,g,true,3
204.621,-100.053,false,b,true,3
204.621,-20,false,l,true,3
194.634,-20,true,g,true,3
166.949,-100.053,false,g,true,3
166.949,-126.839,false,g,true,3
231.122,-126.839,true,g,true,3
193.208,-126.839,false,b,true,3
193.208,-20,false,l,true,3
181.127,-20,true,g,true,3
171.867,-57.1725,false,g,true,3
171.867,-30.8191,false,l,true,3
174.609,-30.8191,true,l,true,3
169.838,-30.8191,false,b,true,3
160,-30,false,f,true,4
160,-45.1801,false,g,true,4
166.257,-45.18,true,l,true,4
169.956,-45.18,false,b,true,4
175.859,-45.18,true,l,true,4
174.096,-45.18,false,b,true,4
174.096,-34.9585,false,l,true,4
174.096,-20,false,l,true,4
222.552,-20,true,g,true,4
150.447,-163.997,false,g,true,4
150.447,-142.002,false,l,true,4
150.447,-20,false,l,true,4
223.645,-20,true,g,true,4
146.274,-169.178,false,g,true,4
223.645,-169.178,true,l,true,4
140.473,-169.178,false,b,true,4
140.473,-164.36,false,l,true,4
224.571,-164.36,true,g,true,4
153.029,-164.36,false,b,true,4
153.029,-20,false,l,true,4
203.672,-20,true,g,true,4
150.194,-137.565,false,g,true,4
150.194,-164.352,false,g,true,4
216.39,-164.352,true,g,true,4
140.758,-164.352,false,b,true,4
223.981,-164.352,true,g,true,4
152.171,-164.352,false,b,true,4
152.171,-20,false,l,true,4
160,-30,false,f,true,5
160,-45.1801,false,g,true,5
166.257,-45.18,true,l,true,5
160.064,-45.18,false,b,true,5
160.064,-20,false,l,true,5
233.701,-20,true,g,true,5
200.162,-120.629,false,g,true,5
200.162,-110.407,false,l,true,5
171.456,-110.407,false,b,true,5
168.75,-110.407,false,b,true,5
168.75,-20,false,l,true,5
220.524,-20,true,g,true,5
173.088,-136.643,false,g,true,5
173.088,-142.383,false,g,true,5
224.126,-142.383,true,l,true,5
145.222,-142.383,false,b,true,5
203.377,-142.383,true,l,true,5
145.709,-142.383,false,b,true,5
145.709,-20,false,l,true,5
