x,z,relay,string,error,index
160,-30,false,f,true,0
160,-20,false,l,true,0
227.166,-20,true,g,true,0
224.219,-36.475,false,g,true,0
204.432,-36.475,false,b,true,0
147.13,-36.475,false,b,true,0
147.13,-20,false,l,true,0
217.268,-20,true,g,true,0
207.852,-63.2699,false,g,true,0
146.497,-63.2699,false,b,true,0
146.497,-20,false,l,true,0
223.928,-20,true,g,true,0
202.579,-95.4238,false,g,true,0
131.002,-95.4238,false,b,true,0
131.002,-20,false,l,false,0
190.176,-20,true,g,true,0
164.503,-95.4238,false,g,true,0
148.379,-95.4238,false,b,true,0
148.379,-20,false,l,true,0
227.465,-20,true,g,true,0
176.363,-143.655,false,g,true,0
150.184,-143.655,false,b,true,0
150.184,-20,false,l,true,0
215.358,-20,true,g,true,0
150.16,-154.373,false,g,true,0
144.684,-154.373,false,b,true,0
144.684,-20,false,l,true,0
228.358,-20,true,g,true,0
163.197,-159.732,false,g,true,0
130.695,-159.732,false,b,true,0
130.695,-20,false,l,false,0
218.846,-20,true,g,true,0
155.122,-154.373,false,g,true,0
155.122,-143.655,false,l,true,0
169.946,-143.655,false,b,true,0
169.946,-20,false,l,true,0
221.748,-20,true,g,true,0
159.19,-154.373,false,g,true,0
159.19,-20,false,l,true,0
224.946,-20,true,g,true,0
173.101,-143.655,false,g,true,0
173.101,-116.86,false,l,true,0
173.101,-20,false,l,true,0
226.391,-20,true,g,true,0
179.241,-138.296,false,g,true,0
179.241,-127.592,false,l,true,0
179.241,-20,false,l,true,0
223.777,-20,true,g,true,0
144.994,-170.45,false,g,true,0
142.945,-170.45,false,b,true,0
142.945,-20,false,l,true,0
227.846,-20,true,g,true,0
176.854,-143.655,false,g,true,0
176.854,-122.219,false,l,true,0
176.854,-20,false,l,true,0
215.257,-20,true,g,true,0
160.309,-143.655,false,g,true,0
156.326,-143.655,false,b,true,0
160,-30,false,f,true,1
163.462,-30,false,b,true,1
201.698,-30,false,b,true,1
201.698,-20,false,l,true,1
162.985,-20,true,g,true,1
159.987,-31.116,false,g,true,1
186.126,-31.116,false,b,true,1
186.126,-20,false,l,true,1
175.179,-20,true,g,true,1
165.33,-57.9109,false,g,true,1
164.587,-57.9109,false,b,true,1
136.67,-57.9109,false,b,true,1
189.295,-57.9109,false,b,true,1
210.089,-57.9109,false,b,true,1
210.089,-20,false,l,true,1
214.03,-20,true,g,true,1
171.85,-127.578,false,g,true,1
171.85,-111.501,false,l,true,1
171.85,-20,false,l,true,1
222.855,-20,true,g,true,1
215.199,-57.9109,false,g,true,1
215.199,-20,false,l,true,1
197.665,-20,true,g,true,1
166.749,-106.142,false,g,true,1
166.749,-79.3468,false,l,true,1
164.852,-79.3468,false,b,true,1
164.852,-52.5519,false,l,true,1
